CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1 CC(Cc1cccc(Cl)c1)NC(=O)c1cnn(C)c1C1CC1
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1 CCNC(=O)c1cc(-c2ccc(Cl)cc2)c(CC)s1
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1 Cc1ccc(-n2ncc(C(=O)NC3(C#N)CCOC3)c2C)cc1
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1 Cc1c(C(=O)N2CCOC(C(N)=O)C2)cnn1-c1ccccc1
CC(=O)NCCNC(=O)c1cnn(-c2ccc(C)c(Cl)c2)c1C1CC1 O=C(NCCn1cccc1)c1c(Cl)cccc1Cl
CC(C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCCC1C1CC=CS1 CC(C(=O)Nc1ccc(Cl)c2ccccc12)[NH+]1CCC(C)(C)C1
CC(C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCCC1C1CC=CS1 CN(NC(=O)C1CCCCC1C(F)(F)F)c1ccccc1
CC(C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCCC1C1CC=CS1 CCC1=C(C2CCC[NH+]2C(C)(C)C)CCS1
CC(C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCCC1C1CC=CS1 CC(C)C(C(=O)NC1CC1)S(=O)(=O)c1cccc2ccccc12
CC(C(=O)C1=c2ccccc2=[NH+]C1)[NH+]1CCCC1C1CC=CS1 Cc1ccc(NC(=O)C(C)S(=O)(=O)c2cccc(C)c2)cc1
CCN(CC1CCOC1)C(=O)c1ccnc(Cl)c1 CCN(CC1CCOCC1)C(=O)c1cncc(Br)c1
CCN(CC1CCOC1)C(=O)c1ccnc(Cl)c1 CCN(CC1CCOC1)C(=O)c1cncc(Br)c1
CCN(CC1CCOC1)C(=O)c1ccnc(Cl)c1 COc1cc(C(=O)Nc2cccc(Br)c2C)ccn1
CCN(CC1CCOC1)C(=O)c1ccnc(Cl)c1 CCCCN(C(=O)c1ccncc1Cl)C1CCS(=O)(=O)C1
CCN(CC1CCOC1)C(=O)c1ccnc(Cl)c1 CCN(CC1CCOCC1)C(=O)Nc1ccncc1
Cc1ccccc1CS(=O)CCCc1ccccc1 Cc1ccccc1CS(=O)CCNC(=O)C1CC1C
Cc1ccccc1CS(=O)CCCc1ccccc1 CC(=O)NCC(C)CS(=O)Cc1ccccc1
Cc1ccccc1CS(=O)CCCc1ccccc1 CS(=O)c1ccc(NC(=O)CCc2ccccc2)cc1
Cc1ccccc1CS(=O)CCCc1ccccc1 Cc1cc(C)c(NC(=O)CS(=O)Cc2ccccc2C)c(C)c1
Cc1ccccc1CS(=O)CCCc1ccccc1 CC(N)c1ccc(CS(=O)CCCc2ccccc2)cc1
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl CSCC(=O)Nc1c(C)cccc1-c1ccc(F)cc1
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl CC(Oc1cc(Cl)cc(Cl)c1)C(=O)NCC1CCCO1
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl O=C(NCc1ccc(Cl)cc1)c1cccc(Cl)c1O
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl CSCC(=O)NC(C)c1ccc(Cl)c(Cl)c1
CSCC(=O)NNC(=O)c1c(O)cc(Cl)cc1Cl CC(NC(=O)Oc1ccc(F)cc1)c1ccccc1
c1ccc(-c2cc(N3CC4C5CCC(O5)C4C3)c3ccccc3[nH+]2)cc1 Fc1cc(F)cc(NCC2CC3CCC2O3)c1
c1ccc(-c2cc(N3CC4C5CCC(O5)C4C3)c3ccccc3[nH+]2)cc1 Nc1[nH+]c(N2CCCC(C3OCCO3)C2)ccc1-c1ccccc1
c1ccc(-c2cc(N3CC4C5CCC(O5)C4C3)c3ccccc3[nH+]2)cc1 CC(O)c1cc(N2CCC3(CCOC3)C2)c2ccccc2[nH+]1
c1ccc(-c2cc(N3CC4C5CCC(O5)C4C3)c3ccccc3[nH+]2)cc1 Cc1cc(C)c(NC(=O)N2CC3C4CCC(O4)C3C2)c(C)c1
c1ccc(-c2cc(N3CC4C5CCC(O5)C4C3)c3ccccc3[nH+]2)cc1 Nc1[nH+]c(N2CCC3(CCOC3)C2)ccc1-c1ccccc1
Cc1cc(CNC(=O)Nc2cc(-c3ccccc3)on2)no1 Cc1cc(CNC(=O)c2cccc(F)c2Cl)no1
